file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\dubbo\dubbo-configcenter\dubbo-configcenter-nacos\src\test\java\org\apache\dubbo\configcenter\support\nacos\RetryTest.java,org.apache.dubbo.configcenter.support.nacos.RetryTest$Anonymous1,,0,5,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\stub\StubProxyFactory.java,org.apache.dubbo.rpc.stub.StubProxyFactory,,7,11,3,,,,,,,,,
C:\oodass1\dubbo\dubbo-configcenter\dubbo-configcenter-nacos\src\test\java\org\apache\dubbo\configcenter\support\nacos\RetryTest.java,org.apache.dubbo.configcenter.support.nacos.RetryTest$Anonymous2,,0,5,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-mcp\src\test\java\org\apache\dubbo\mcp\transport\DubboMcpSseTransportProviderTest.java,org.apache.dubbo.mcp.transport.DubboMcpSseTransportProviderTest,,21,74,10,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-http12\src\main\java\org\apache\dubbo\remoting\http12\command\HttpWriteQueue.java,org.apache.dubbo.remoting.http12.command.HttpWriteQueue,,4,17,4,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-netty\src\main\java\org\apache\dubbo\remoting\transport\netty\NettyBackedChannelBuffer.java,org.apache.dubbo.remoting.transport.netty.NettyBackedChannelBuffer,,7,223,69,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\transport\dispatcher\connection\ConnectionOrderedDispatcher.java,org.apache.dubbo.remoting.transport.dispatcher.connection.ConnectionOrderedDispatcher,,4,6,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-http12\src\main\java\org\apache\dubbo\remoting\http12\h1\Http1Metadata.java,org.apache.dubbo.remoting.http12.h1.Http1Metadata,,2,9,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-metrics\dubbo-metrics-api\src\main\java\org\apache\dubbo\metrics\model\key\MetricsCat.java,org.apache.dubbo.metrics.model.key.MetricsCat,,6,20,4,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\support\MockInvoker.java,org.apache.dubbo.rpc.support.MockInvoker,,14,194,62,,,,,,,,,
