file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\analysis\util\TestAspects.java,com.google.devtools.build.lib.analysis.util.TestAspects$ExtraAttributeAspect,,13,34,7,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\ActionExecutionState.java,com.google.devtools.build.lib.skyframe.ActionExecutionState$SharedActionCallback,,0,4,2,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\packages\metrics\PackageMetricsPackageLoadingListenerTest.java,com.google.devtools.build.lib.packages.metrics.PackageMetricsPackageLoadingListenerTest,,13,197,25,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\vfs\SyscallCache.java,com.google.devtools.build.lib.vfs.SyscallCache,,9,65,10,,,,,,,,,
C:\oodass1\projects\bazel\third_party\ijar\test\GenDuplicatedUnsupportedAttribute.java,test.GenDuplicatedUnsupportedAttribute$Anonymous1,,3,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\packages\TargetRecorder.java,com.google.devtools.build.lib.packages.TargetRecorder$MacroFrame,,1,7,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\runtime\commands\RunCommandLine.java,com.google.devtools.build.lib.runtime.commands.RunCommandLine$WindowsFormatter,,7,58,12,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\testutil\EventIterableSubject.java,com.google.devtools.build.lib.testutil.EventIterableSubject,,5,10,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\StarlarkAspectFactory.java,com.google.devtools.build.lib.skyframe.StarlarkAspectFactory,,16,85,24,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\packages\Attribute.java,com.google.devtools.build.lib.packages.Attribute$SimpleLateBoundDefault,,8,10,2,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\backport\DefaultInterfaceMethodConverter.java,proguard.backport.DefaultInterfaceMethodConverter$SuperInvocationInstructionMatcher,,14,39,12,,,,,,,,,
