file,class,type,cbo,loc,wmc
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\keyframes\KeyframesDecoderExample.java,com.facebook.fresco.samples.showcase.imageformat.keyframes.KeyframesDecoderExample$KeyframesFormatChecker,innerclass,4,18,4
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\SwallowResultProducerTest.java,com.facebook.imagepipeline.producers.SwallowResultProducerTest$ProduceResultsCancellationAnswer,innerclass,4,7,1
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\ThumbnailBranchProducer.java,com.facebook.imagepipeline.producers.ThumbnailBranchProducer,class,12,63,9
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\BitmapMemoryCacheProducerTest.java,com.facebook.imagepipeline.producers.BitmapMemoryCacheProducerTest$ProduceResultsFailureAnswer,innerclass,4,7,1
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\cache\AbstractAdaptiveCountingMemoryCache.java,com.facebook.imagepipeline.cache.AbstractAdaptiveCountingMemoryCache$Anonymous1,anonymous,4,5,1
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\cache\AbstractAdaptiveCountingMemoryCache.java,com.facebook.imagepipeline.cache.AbstractAdaptiveCountingMemoryCache$Anonymous2,anonymous,2,5,1
C:\oodass1\projects\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\GestureListenerWrapper.java,com.facebook.samples.zoomable.GestureListenerWrapper,class,4,36,11
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\drawable\RoundedColorDrawable.java,com.facebook.drawee.drawable.RoundedColorDrawable,class,15,182,45
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\RemoveImageTransformMetaDataProducerTest.java,com.facebook.imagepipeline.producers.RemoveImageTransformMetaDataProducerTest,class,17,56,5
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\RemoveImageTransformMetaDataProducerTest.java,com.facebook.imagepipeline.producers.RemoveImageTransformMetaDataProducerTest$Anonymous1,anonymous,3,6,1
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\drawable\RoundedBitmapDrawable.java,com.facebook.drawee.drawable.RoundedBitmapDrawable,class,14,122,34
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\cache\EncodedMemoryCacheFactory.java,com.facebook.imagepipeline.cache.EncodedMemoryCacheFactory,class,7,18,1
